SOURCE_ID,TITLE,PUBLISHER,PUBLICATION_DATE,URL,LOCATOR,FACT_USED,LIMITATIONS,ACCESS_STATUS,REVIEW_DATE
S01,2025 Wilpinjong technical report summary,Peabody / SEC,2026,https://www.sec.gov/Archives/edgar/data/1064728/000106472826000006/btu_20251231xex962.htm,Sections 16.2 and 16.4,AGL open-book supply agreement scheduled to finish in 2028; flexible nominations; remaining production exported.,No current AGL price or Bayswater blend percentage disclosed.,PUBLIC_PRIMARY_TEXT,2026-09-19
S02,FY25 results presentation,AGL,2025-08-13,https://announcements.asx.com.au/asxpdf/20250813/pdf/06mtcw5jhkzf4t.pdf,Slide 33,Bayswater can use 4800 kcal/kg coal; additional FY26/27 supply discounted to Newcastle; legacy contracts roll off.,Capability is not actual average coal quality. Discounts do not disclose delivered price.,PUBLIC_PRIMARY_TEXT,2026-09-19
S03,Annual Report 2025,AGL,2025-08-13,https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/company-docs/250813-2-agl-energy-limited-annual-report-2025.pdf,"Operating and financial review, p.24",FY25 coal fuel expense A$583m and about A$22/MWh across coal fleet.,Fleet total cannot uniquely identify Bayswater and Loy Yang unit prices.,PRIMARY_INDEXED_TEXT; large PDF not fully retrieved,2026-09-19
S04,FY26 half-year report,AGL,2026-02-11,https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/news-centre/2026/260211-appendix-4d-and-fy26-half-year-report.pdf,"Operating review, p.7","Coal fleet fuel expense A$289m, A$23.8/MWh; higher Bayswater coal costs.",Half-year fleet expense; no station coal price.,PUBLIC_PRIMARY_TEXT,2026-09-19
S05,March 2026 quarterly report,Origin Energy,2026-04-27,https://announcements.asx.com.au/asxpdf/20260427/pdf/06ywbyxms9scmn.pdf,"Commodity exposure, PDF p.28","Eraring 5.5-6 Mtpa; largely discounted Newcastle 6000 pricing and hedging. FY27 approximately 1Mt opening stock plus 3.6Mt contracted/hedged, 75-85% coverage.",Coverage excludes closing stockpile; neither mine mix nor derivative of delivered cost to export price.,PUBLIC_PRIMARY_TEXT,2026-09-19
S06,Origin and Centennial agree supply from Myuna Colliery,Origin Energy,2026-03-03,https://www.originenergy.com.au/about/investors-media/origin-and-centennial-agree-supply-from-myuna-colliery/,Announcement,Final agreement supplies Myuna coal to December 2028; significant costs absorbed.,Final tariff and surcharge not published; direct page returned 404 during review.,PRIMARY_INDEXED_TEXT,2026-09-19
S07,Origin offers Myuna end-of-life coal supply agreement,Origin Energy,2026-02-05,https://www.originenergy.com.au/about/investors-media/origin-offers-myuna-end-of-life-coal-supply-agreement/,Negotiation announcement,A$50m/year relates to Centennial demand above market during negotiations.,Not evidence that the final March agreement adopted this exact premium.,PRIMARY_INDEXED_TEXT,2026-09-19
S08,"Senate committee hearing, 23 April 2024",Australian Parliament,2024-04-23,https://www.aph.gov.au/Parliamentary_Business/Hansard/Hansard_Display?bid=committees%2Fcommsen%2F27922%2F&sid=0000,Evidence concerning Myuna,Myuna described as landlocked and supplying Eraring exclusively.,Does not establish Myuna share of Eraring total burn.,PUBLIC_PRIMARY_TEXT,2026-09-19
S09,Mandalong operation,Centennial,undated,https://www.centennialcoal.com.au/operations/mandalong?page=1,Operation description,Mandalong supplies Eraring and Vales Point.,No current station allocation or price.,PUBLIC_PRIMARY_TEXT,2026-09-19
S10,Investment in supply reliability following 2022,EnergyAustralia,2023,https://www.energyaustralia.com.au//about-us/media/news/energyaustralia-accelerates-investment-energy-supply-reliability-following-2022,Coal supply discussion,Mt Piper multi-mine agreement includes Airly and Springvale.,Agreement economics and current mine shares undisclosed.,PUBLIC_PRIMARY_TEXT,2026-09-19
S11,2024 Management Discussion and Analysis,Banpu,2025-02,https://www.banpu.com/wp-content/uploads/2025/02/2024-Banpu-MDA-En.pdf,Australia domestic selling price discussion,"2024 Australian domestic ASP excluding traded coal A$170.52/t, versus A$123.39/t in 2023.","Supplier-wide nominal ASP, not Mt Piper invoice or necessarily delivered basis; direct link returned 404.",PRIMARY_INDEXED_TEXT,2026-09-19
S12,Annual Report 2024,Banpu,2025-03-14,https://www.banpu.com/wp-content/uploads/2025/03/Banpu-One-Report-2024_EN_14-Mar-25.pdf,p.217,Australia domestic pricing increased with new contracts; corroborates S11.,"Same underlying disclosure as S11, not independent evidence; direct download unavailable.",PRIMARY_INDEXED_TEXT,2026-09-19
S13,2025 Management Discussion and Analysis,Banpu,2026-02,https://www.banpu.com/wp-content/uploads/2026/02/2025-Banpu-MDA-En.pdf,Australia mining results,2025 Australian mixed-market ASP A$152.90/t and cost A$143.80/t.,Includes export business; cannot replace domestic ASP or station tariff.,PRIMARY_INDEXED_TEXT,2026-09-19
