CALC_ID,PLANT,CALCULATION,FORMULA_TEXT,RESULT,UNIT,SOURCE_IDS,ASSUMPTIONS_AND_LIMITATIONS
C01,Mt Piper,Domestic supplier proxy in June2025 money,170.52 * (141.7 / 138.8) / 23,7.568814684876581,AUD_JUN2025_PER_GJ,S11;S45,"23GJ/t is analyst assumption, not measured Mt Piper quality. June2024 CPI approximates full-year2024 price timing. Freight and mine mix unobserved. Base rounded to nearest0.50."
C02,Mt Piper,Same proxy at24GJ/t,170.52 * (141.7 / 138.8) / 24,7.253447406340057,AUD_JUN2025_PER_GJ,S11;S45,Quality-only sensitivity; not low end of full uncertainty range.
C03,Mt Piper,Same proxy at21GJ/t,170.52 * (141.7 / 138.8) / 21,8.28965417867435,AUD_JUN2025_PER_GJ,S11;S45,Quality-only sensitivity; not a station assay.
C04,Callide B; Callide C,Domestic product energy conversion,4550 * 0.004184,19.037200000000002,GJ_PER_TONNE,S31,Thermochemical kcal conversion; as-received stated product.
C05,Callide B; Callide C,Historical domestic price CPI crosscheck,27 * (141.7 / 109.4) / (4550 * 0.004184),1.8370171884386386,AUD_JUN2025_PER_GJ,S29;S31;S45;S46,"General CPI scenario, not verified contract escalation; approx2016 price, approximate source quarter; historical court text access limitation. Retained base2.00 is not mechanically replaced by this result."
C06,Loy Yang A,Historical management cost CPI crosscheck,4 * (141.7 / 113.5) / 8.2,0.6090039755023101,AUD_JUN2025_PER_GJ,S36;S37;S45;S47,8.2GJ/t old consultant assumption; quarter proxied Sep2018 for Oct2018 remark; all-up cost scope unclear.
C07,Millmerran,Historical mining-services-only cost,286 / 5 / 3.6 / 17.6 * (141.7 / 113.5),1.1270802741067056,AUD_JUN2025_PER_GJ,S33;S34;S35;S45;S47,Uses A$m and Mt cancelling. Contract headline divided equally by years and historical output. Owner costs absent. CPI treats award value as2018 money although multiyear nominal escalation unknown; diagnostic only.
C08,Kogan Creek,Historical contractor-only annual fee per tonne,150 / 4 / 2.5,15.0,AUD_PER_TONNE_HEADLINE_CONTRACT_BASIS,S26,2.5Mt/year is analyst throughput scenario. Nominal contract headline basis; not delivered current total. No unverified coal-quality conversion applied.
C09,Tarong; Tarong North,New contractor fee at6Mt/year,750 / 5.5 / 6 / 19.6,1.1595547309833025,AUD_PER_GJ_FORWARD_CONTRACT_HEADLINE_BASIS,S24;S25;S35,6Mt/year analyst scenario; 19.6GJ/t historical reference. Not converted to June2025 due unknown expenditure schedule. Owner-owned fleet and other costs excluded.
C10,Tarong; Tarong North,Contractor fee at rated capacity,750 / 5.5 / 7.6 / 19.6,0.9154379455131335,AUD_PER_GJ_FORWARD_CONTRACT_HEADLINE_BASIS,S23;S24;S35,"Capacity sensitivity only, not actual production or an all-in delivered price."
C11,Eraring,FY27 uncovered volume low,1 - 0.85,0.15,FRACTION_OF_CONSUMED_VOLUME,S05,"Not export blend, physical mine share, or effective price beta."
C12,Eraring,FY27 uncovered volume high,1 - 0.75,0.25,FRACTION_OF_CONSUMED_VOLUME,S05,Coverage forecast asApr2026; not currentSept2026 audited coverage.
C13,Vales Point B,Original screenshot blend arithmetic only,0.5 * 3.5 + 0.5 * 6.5,5,AUD_PER_GJ_IF_ENERGY_WEIGHTS_EQUAL,S17,Component prices3.5 and6.5 are UNSOURCED screenshot inputs.50% public share is tonnes; formula only valid if energy shares also50%. Not used as validated price evidence.
C14,Bayswater,FY26 residual station price proxy,(666m - 11.837mMWh * 11.2GJ/MWh * 0.68/GJ) / (13.804mMWh * 10.0GJ/MWh),4.171612634019125,AUD_PER_GJ,S48;S49,"Uses disclosed fleet cost and pool volumes, but analyst heat rates and retained Loy Yang A price. Stockpile and accounting allocation may differ. Rounded reviewed base is 4.20."
C15,AGL coal fleet,FY26 fleet coal cost per pool MWh,666m / (13.804mMWh + 11.837mMWh),25.974025974025974,AUD_PER_MWH,S48;S49,Reproduces disclosed approximately26.0/MWh; fleet aggregate is not a Bayswater price.
C16,Stanwell PS,Post-reset market-priced contract share,0.4 / (2.2 + 0.8),0.13333333333333333,FRACTION_OF_DISCLOSED_CONTRACT_PACKAGE,S51,0.4Mtpa market-priced half of 0.8Mt transaction volume divided by disclosed 3.0Mtpa package. Not a complete delivered-price beta.
C17,Stanwell PS,Legacy ACSA coal-only price at illustrative28GJ/t,40 / 28,1.4285714285714286,AUD_PER_GJ_BEFORE_DELIVERY_AND_OTHER_CHARGES,S35;S51,"28GJ/t is midpoint of old26-30GJ/t engineering range. Excludes rail, quality, rebate, finance and station allocation."
C18,Stanwell PS,NCSA fixed coal-only price at illustrative28GJ/t,50 / 28,1.7857142857142858,AUD_PER_GJ_BEFORE_DELIVERY_AND_OTHER_CHARGES,S35;S51,"Illustrative conversion only; actual formula, quality and all-in delivery costs remain undisclosed."
