PLANT,STATE,CURRENT_V06_AUD_GJ,ORIGINAL_BASE_AUD_GJ,ORIGINAL_LOW_AUD_GJ,ORIGINAL_HIGH_AUD_GJ,BASE_AUD_GJ,LOW_AUD_GJ,HIGH_AUD_GJ,CHANGE_AUD_GJ,PRICE_SOURCE_TYPE,CONFIDENCE,PRODUCTION_STATUS,MODEL_INPUT_STATUS,PRICE_BASIS,REAL_BASE_DATE,EVIDENCE_CUTOFF,ASSUMPTION_HORIZON,SUPPLY_REGIME,ORIGINAL_GROSS_BETA_REFERENCE,VERIFIED_EXPORT_PRICE_WEIGHT,CURRENT_PUBLIC_STATION_PRICE_AUD_GJ,HISTORICAL_OR_PROXY_ANCHOR_AUD_GJ,SELECTION_METHOD,SOURCE_IDS,SOURCE_URL,NOTES,RANGE_TYPE
Bayswater,NSW,4.1241,3.6,3.2,4.1241,3.6,3.2,5.5,0.0,RETAIN_PRIOR_FLEET_CONSTRAINED,LOW,ACTIVE_ASSET_NOT_LIVE_AVAILABILITY,PROVISIONAL_ANALYST_ASSUMPTION,DELIVERED_STATION_AVERAGE_FUEL_COST_TARGET,2025-06-30,2026-09-15,NEAR_TERM_USING_LATEST_KNOWN_REGIME,Wilpinjong legacy open-book plus other contracted Hunter supply,0.6375,,,,RETAIN_PRIOR_FLEET_CONSTRAINED,S01;S02;S03;S04,https://www.sec.gov/Archives/edgar/data/1064728/000106472826000006/btu_20251231xex962.htm | https://announcements.asx.com.au/asxpdf/20250813/pdf/06mtcw5jhkzf4t.pdf | https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/company-docs/250813-2-agl-energy-limited-annual-report-2025.pdf | https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/news-centre/2026/260211-appendix-4d-and-fy26-half-year-report.pdf,"Retain 3.60 as provisional prior; fleet reconciliation cannot identify station price. Increase high to 5.50 for contract roll-off and higher recent cost. Wilpinjong contract ends 2028, not universal FY2030. Current mine and export-linked energy weights unavailable.",ANALYST_SCENARIO_NOT_STATISTICAL_CONFIDENCE_INTERVAL
Eraring,NSW,7.0161,5.5,4.5,7.0161,5.5,4.5,8,0.0,RETAIN_PRIOR_CONTRACT_PRICE_UNKNOWN,LOW,ACTIVE_ASSET_NOT_LIVE_AVAILABILITY,PROVISIONAL_ANALYST_ASSUMPTION,DELIVERED_STATION_AVERAGE_FUEL_COST_TARGET,2025-06-30,2026-09-15,NEAR_TERM_USING_LATEST_KNOWN_REGIME,Myuna captive-to-customer plus Mandalong/other suppliers; discounted index contracts and hedges,0.325,,,,RETAIN_PRIOR_CONTRACT_PRICE_UNKNOWN,S05;S06;S07;S08;S09,https://announcements.asx.com.au/asxpdf/20260427/pdf/06ywbyxms9scmn.pdf | https://www.originenergy.com.au/about/investors-media/origin-and-centennial-agree-supply-from-myuna-colliery/ | https://www.originenergy.com.au/about/investors-media/origin-offers-myuna-end-of-life-coal-supply-agreement/ | https://www.aph.gov.au/Parliamentary_Business/Hansard/Hansard_Display?bid=committees%2Fcommsen%2F27922%2F&sid=0000 | https://www.centennialcoal.com.au/operations/mandalong?page=1,"No disclosed station invoice validates 5.50. Retain as provisional; broaden upper case. Do not treat proposed A$50m/year Myuna premium as final agreed price. FY27 75-85% coverage implies 15-25% uncovered volume, not export blend or price beta.",ANALYST_SCENARIO_NOT_STATISTICAL_CONFIDENCE_INTERVAL
Mt Piper,NSW,7.2197,5,4,7.2197,7.5,5.5,8.5,2.5,SUPPLIER_DOMESTIC_ASP_PROXY,LOW,ACTIVE_ASSET_NOT_LIVE_AVAILABILITY,PROVISIONAL_ANALYST_ASSUMPTION,DELIVERED_STATION_AVERAGE_FUEL_COST_TARGET,2025-06-30,2026-09-15,NEAR_TERM_USING_LATEST_KNOWN_REGIME,Centennial multi-mine Springvale/Airly supply; confidential domestic contracts,0.325,,,7.568814684876581,SUPPLIER_DOMESTIC_ASP_PROXY,S10;S11;S12;S13;S14;S15;S16,https://www.energyaustralia.com.au//about-us/media/news/energyaustralia-accelerates-investment-energy-supply-reliability-following-2022 | https://www.banpu.com/wp-content/uploads/2025/02/2024-Banpu-MDA-En.pdf | https://www.banpu.com/wp-content/uploads/2025/03/Banpu-One-Report-2024_EN_14-Mar-25.pdf | https://www.banpu.com/wp-content/uploads/2026/02/2025-Banpu-MDA-En.pdf | https://market.sec.or.th/public/idisc/Download?FILEID=dat%2Fnews%2F202605%2F0148NWS120520260708158910E.pdf | https://www.banpupower.com/wp-content/uploads/2026/01/1313NWS070120261751295780E.pdf | https://www.clpgroup.com/content/dam/clp-group/channels/investor/document/3-2-results---presentations/2025/CLP%20Holdings_2025%20Annual%20Results%20Analyst%20Briefing_Transcript.pdf.coredownload.pdf,"Raise provisional base to 7.50. Supplier 2024 domestic ASP170.52/t rebased using June2024 CPI proxy and assumed23GJ/t gives7.57/GJ, rounded to nearest0.50. Supplier average is not station delivered invoice. Latest mixed ASPs support a lower downside; station blend, freight and actual assay remain unknown.",ANALYST_SCENARIO_NOT_STATISTICAL_CONFIDENCE_INTERVAL
Vales Point B,NSW,7.0161,5,4.3,5.8,5,4,7.5,0,RETAIN_PRIOR_BLEND_COMPONENTS_UNKNOWN,LOW,ACTIVE_ASSET_NOT_LIVE_AVAILABILITY,PROVISIONAL_ANALYST_ASSUMPTION,DELIVERED_STATION_AVERAGE_FUEL_COST_TARGET,2025-06-30,2026-09-15,NEAR_TERM_USING_LATEST_KNOWN_REGIME,Approximately half Chain Valley; remaining external domestic supply,0.4,,,,RETAIN_PRIOR_BLEND_COMPONENTS_UNKNOWN,S17;S18;S19;S09,https://www.deltapae.com.au/operations/chain-valley-colliery/chain-valley-colliery-environment/consolidation-project | https://www.ipcn.nsw.gov.au/news/chain-valley-colliery-consolidation-project-approved-limited-supplying-vales-point-power | https://www.ipcn.nsw.gov.au/sites/default/files/2026-02/Chain%20Valley%20Colliery%20Consolidation%20Project_Applicant%20meeting%20transcript.pdf | https://www.centennialcoal.com.au/operations/mandalong?page=1,"Retain5.00; broaden range. Approximate50% is a tonne share, not verified energy weight. Original3.50 captive/6.50 external prices are unverified and removed from reviewed component fields. Chain Valley coal restricted to Vales Point; external share is not automatically export-indexed.",ANALYST_SCENARIO_NOT_STATISTICAL_CONFIDENCE_INTERVAL
Stanwell PS,QLD,4.9591,2.55,2.2,3.1,2.55,2.2,4.5,0.0,RETAIN_PRIOR_LEGACY_CSA_WITH_RESET_RISK,LOW,ACTIVE_ASSET_NOT_LIVE_AVAILABILITY,PROVISIONAL_ANALYST_ASSUMPTION,DELIVERED_STATION_AVERAGE_FUEL_COST_TARGET,2025-06-30,2026-09-15,NEAR_TERM_USING_LATEST_KNOWN_REGIME,"Curragh domestic CSA; amendments, prepayments and rebate changes",0.125,,,,RETAIN_PRIOR_LEGACY_CSA_WITH_RESET_RISK,S20;S21;S22;S35,https://www.sec.gov/Archives/edgar/data/1770561/000110465926046838/tm264496d1_ars.pdf | https://www.sec.gov/Archives/edgar/data/1770561/000110465926007024/tm264164d1_ex99-1.htm | https://www.sec.gov/Archives/edgar/data/1770561/000156276226000094/Form10q2026q2.htm | https://minedocs.com/22/Queensland_Coals-Other-2003.pdf,Retain2.55 only as legacy-price prior; increase high for altered economics. 2025/26 changes invalidate a timeless fixed-price description. Do not divide financing advances by current burn and call the result current fuel expense; current tariff reconciliation unresolved.,ANALYST_SCENARIO_NOT_STATISTICAL_CONFIDENCE_INTERVAL
Tarong,QLD,3.8594,2.55,2,3,2.55,2,3.5,0.0,RETAIN_PRIOR_CONTRACTOR_COST_CROSSCHECK,LOW_MEDIUM,ACTIVE_ASSET_NOT_LIVE_AVAILABILITY,PROVISIONAL_ANALYST_ASSUMPTION,DELIVERED_STATION_AVERAGE_FUEL_COST_TARGET,2025-06-30,2026-09-15,NEAR_TERM_USING_LATEST_KNOWN_REGIME,Owned Meandu mine and conveyor,0.069,,,,RETAIN_PRIOR_CONTRACTOR_COST_CROSSCHECK,S23;S24;S25;S35,https://www.stanwell.com/meandu-mine | https://nrw.com.au/golding-awarded-stanwell-meandu-mine-contract/ | https://announcements.asx.com.au/asxpdf/20260219/pdf/06wgt7sqywy861.pdf | https://minedocs.com/22/Queensland_Coals-Other-2003.pdf,Retain2.55. New750m/5.5year service contract is only part of cost; 100% client-owned fleet. Capacity7.6Mt is not actual output. Same coal price/GJ for Tarong and Tarong North; heat rate belongs in consumption conversion. Export weight0 is a near-term captive-supply modelling assumption.,ANALYST_SCENARIO_NOT_STATISTICAL_CONFIDENCE_INTERVAL
Tarong North,QLD,3.8594,2.55,2,3,2.55,2,3.5,0.0,RETAIN_PRIOR_CONTRACTOR_COST_CROSSCHECK,LOW_MEDIUM,ACTIVE_ASSET_NOT_LIVE_AVAILABILITY,PROVISIONAL_ANALYST_ASSUMPTION,DELIVERED_STATION_AVERAGE_FUEL_COST_TARGET,2025-06-30,2026-09-15,NEAR_TERM_USING_LATEST_KNOWN_REGIME,Owned Meandu mine and conveyor,0.069,,,,RETAIN_PRIOR_CONTRACTOR_COST_CROSSCHECK,S23;S24;S25;S35,https://www.stanwell.com/meandu-mine | https://nrw.com.au/golding-awarded-stanwell-meandu-mine-contract/ | https://announcements.asx.com.au/asxpdf/20260219/pdf/06wgt7sqywy861.pdf | https://minedocs.com/22/Queensland_Coals-Other-2003.pdf,Retain2.55. New750m/5.5year service contract is only part of cost; 100% client-owned fleet. Capacity7.6Mt is not actual output. Same coal price/GJ for Tarong and Tarong North; heat rate belongs in consumption conversion. Export weight0 is a near-term captive-supply modelling assumption.,ANALYST_SCENARIO_NOT_STATISTICAL_CONFIDENCE_INTERVAL
Kogan Creek,QLD,2.3217,1.7,1.5,2,1.7,1.2,2.2,0.0,RETAIN_PRIOR_PARTIAL_MINING_COST_ANCHOR,LOW_MEDIUM,ACTIVE_ASSET_NOT_LIVE_AVAILABILITY,PROVISIONAL_ANALYST_ASSUMPTION,DELIVERED_STATION_AVERAGE_FUEL_COST_TARGET,2025-06-30,2026-09-15,NEAR_TERM_USING_LATEST_KNOWN_REGIME,Owned Kogan Creek mine and conveyor,0.0975,,,,RETAIN_PRIOR_PARTIAL_MINING_COST_ANCHOR,S26;S27;S28,https://announcements.asx.com.au/asxpdf/20211115/pdf/452yzygjvz0n4n.pdf | https://www.csenergy.com.au/what-we-do/thermal-generation/kogan-creek-power-station | https://www.csenergy.com.au/ArticleDocuments/191/CS%20ENERGY%20ANNUAL%20REPORT%202022%20ONLINE.pdf.aspx,"Retain1.70 with lower downside;150m/4year contractor cost is partial, not all-in owner fuel cost. Contract endedJune2026 with option; extension pricing not verified. Zero near-term export pass-through is a captive-supply assumption, not a measured statistical beta.",ANALYST_SCENARIO_NOT_STATISTICAL_CONFIDENCE_INTERVAL
Callide B,QLD,3.3197,2,1.7,2.5,2,1.4,2.5,0,RETAIN_PRIOR_HISTORICAL_CONTRACT_CROSSCHECK,LOW_MEDIUM,ACTIVE_ASSET_NOT_LIVE_AVAILABILITY,PROVISIONAL_ANALYST_ASSUMPTION,DELIVERED_STATION_AVERAGE_FUEL_COST_TARGET,2025-06-30,2026-09-15,NEAR_TERM_USING_LATEST_KNOWN_REGIME,Batchfire Callide domestic priority contract; common mine system,0.505,,,1.8370171884386386,RETAIN_PRIOR_HISTORICAL_CONTRACT_CROSSCHECK,S29;S30;S31;S32;S28,https://changeflow.com/govping/courts-legal/shareholder-oppression-claim-dismissed-20th-mar-2026-04-02 | https://jws.com.au/what-we-think/oppression-is-not-unlawfulness-federal-court-reinforces-boundary-between-breach-of-duty-and-statutory-oppression/ | https://www.batchfire.com.au/about/ | https://www.accc.gov.au/system/files/public-registers/documents/D06%2B58398.pdf | https://www.csenergy.com.au/ArticleDocuments/191/CS%20ENERGY%20ANNUAL%20REPORT%202022%20ONLINE.pdf.aspx,"Retain2.00. Historical2016 approx27/t escalated by general CPI and divided by4550kcal/kg gives1.84/GJ; this is a crosscheck, not actual contract escalation. Court passage available via indexed reproduction only. Supplier exports do not establish domestic contract index exposure. Equal B/C price remains a simplifying assumption.",ANALYST_SCENARIO_NOT_STATISTICAL_CONFIDENCE_INTERVAL
Callide C,QLD,3.3197,2,1.7,2.5,2,1.4,2.5,0,RETAIN_PRIOR_HISTORICAL_CONTRACT_CROSSCHECK,LOW_MEDIUM,ACTIVE_ASSET_NOT_LIVE_AVAILABILITY,PROVISIONAL_ANALYST_ASSUMPTION,DELIVERED_STATION_AVERAGE_FUEL_COST_TARGET,2025-06-30,2026-09-15,NEAR_TERM_USING_LATEST_KNOWN_REGIME,Batchfire Callide domestic priority contract; common mine system,0.505,,,1.8370171884386386,RETAIN_PRIOR_HISTORICAL_CONTRACT_CROSSCHECK,S29;S30;S31;S32;S28,https://changeflow.com/govping/courts-legal/shareholder-oppression-claim-dismissed-20th-mar-2026-04-02 | https://jws.com.au/what-we-think/oppression-is-not-unlawfulness-federal-court-reinforces-boundary-between-breach-of-duty-and-statutory-oppression/ | https://www.batchfire.com.au/about/ | https://www.accc.gov.au/system/files/public-registers/documents/D06%2B58398.pdf | https://www.csenergy.com.au/ArticleDocuments/191/CS%20ENERGY%20ANNUAL%20REPORT%202022%20ONLINE.pdf.aspx,"Retain2.00. Historical2016 approx27/t escalated by general CPI and divided by4550kcal/kg gives1.84/GJ; this is a crosscheck, not actual contract escalation. Court passage available via indexed reproduction only. Supplier exports do not establish domestic contract index exposure. Equal B/C price remains a simplifying assumption.",ANALYST_SCENARIO_NOT_STATISTICAL_CONFIDENCE_INTERVAL
