feature_group,unit,definition,recommended_variable_count
conditional_upper/lower,MW,Tightest reconstructed directional envelope,2
upper/lower_room,MW,Distance between observed flow and reconstructed envelope,2
upper/lower_switch_gap,MW,Gap between leading and runner-up equation,2
upper/lower_gen_tightening,MW,Sum of signed unit movements that contract capacity,2
upper/lower_gen_relief,MW,Sum of signed unit movements that expand capacity,2
upper/lower_pressure_change,MW,Thirty-minute change in aggregate equation pressure,2
upper/lower_available_relief,MW,Ramp and availability limited local relief proxy,2
upper/lower_candidate_count,count,Applicable equation count,2
partial_candidate_fraction,fraction,Share of candidate bounds with incomplete pressure,1
pressure_complete_fraction,fraction,Share of equation pressure mapped to unit dispatch,1
envelope_inconsistent,flag,Reconstructed lower bound exceeds upper bound,1
upper/lower_family,category,Low-cardinality leading constraint family,2 categorical
reported/reconstructed setter disagreement,flag,Published setter differs from reconstructed leader,2
selected unit pressure,MW,Frozen top-unit sensitivity multiplied by forecast movement,4–8
clock/annual harmonics,unitless,Compact diurnal and seasonal phase,4–8
