folder,label,purpose,file_count,size_mb
diurnal,Point models,Rolling and fixed fold × target × horizon-band searches and explanations,3120,414.2
curves,Forecast curves,Frozen 336-step forecast curves and boundary audits,78,9.46
bridge,Legacy bridge,Aligned sampling comparison against legacy policy families,96,20.35
risk,Contraction risk,Base contraction-warning models and explanations,180,8.74
nos,NOS source analysis,"Archive, coverage, mapping, exposure and matched-impact evidence",228,115.55
nos_models,NOS point models,Source-common outage-feature ablations and explanations,504,24.47
nos_risk,NOS risk,Scheduled-outage contraction-risk challengers,318,11.15
refinements,Post-selection refinements,Training-window and lead-conditioned pressure tests,144,23.58
final,Trained bundles,"Frozen research bundles, schemas, parameters and reload checks",66,4.33
report,Reports,"Human-facing HTML pages, downloads, manifests and QA evidence",33,89.59
