artifacts,command,id,kind,note,stage,status,time,ref
[],"inline pandas over `data/forecast_experiments/{qni,vni}_diurnal_nos_v2/nos/episode_revisions.parquet` + `data/constraint_{qni,vni}_2y/standing/GENCONSETINVOKE.parquet",E001,check,"NOS-linked sets present in invocations: VNI 90/90, QNI 98/98. Families with ≥5 outage IDs: VNI 38, QNI 54. SYSTEMNORMAL=1 in 33/2,846 (VNI) and 4/3,444 (QNI) rows",pre-plan,completed,2026-09-24T00:00:00+08:00,
[],"inline pandas: half-hour activity share of invocations, 2024-09-01→2026-09-01",E002,check,NOS-linked sets active in 79.6% (VNI) and 75.4% (QNI) of half-hours; median 4 / 3 concurrent sets; invocation P50 duration 4.0 h / 1.5 h. Led to the family on/off contrast,pre-plan,completed,2026-09-24T00:00:00+08:00,
[],curl` of the NEMWEB MMSDM 2024-09 / 2025-06 DATA listings; inspection of a NOS week `rows.parquet,E003,check,"MMSDM has NETWORK_OUTAGEDETAIL, OUTAGECONSTRAINTSET, EQUIPMENTDETAIL, SUBSTATIONDETAIL (2024-09 confirmed; 2025-06 outage tables confirmed). NOS assets provide SUBSTATIONID/EQUIPMENTTYPE/EQUIPMENTID/ELEMENTID",pre-plan,completed,2026-09-24T00:00:00+08:00,
[],,E004,decision,"The user set the lookup key to set family + specific NOS asset + substation/area + nearby generators. Implemented as K1–K5 with back-off (PLAN §4, METHODOLOGY §4)",G7,recorded,2026-09-24T00:00:00+08:00,
,"exploration: inspect constraint month artifacts, standing tables, MMSDM listings",E005,start,pilot VNI+Heywood begins; read-only exploration,S-1,started,2026-09-24T01:20:43+08:00,
,,E006,decision,"User goal: continue until all six interconnectors are fully analysed. Pilot gate is still evaluated and recorded, but the user waived the pause for review before S0",scope,recorded,2026-09-24T01:22:12+08:00,
[],,E007,finish,closes E005. exploration done: constraint features have upper/lower_constraint leaders; population summaries have leading/binding intervals per constraint-month; regime build_panel importable,S-1,completed,2026-09-24T01:22:12+08:00,E005
,python -c 'from nemic.experiments.nos_regime.acquire import acquire_mmsdm; acquire_mmsdm()',E008,start,MMSDM OUTAGEDETAIL+OUTAGECONSTRAINTSET 2024-09..2026-08; EQUIPMENTDETAIL+SUBSTATIONDETAIL 2026-08,S0-mmsdm,started,2026-09-24T01:22:12+08:00,
"['data/nos_regime_v1/raw/mmsdm', 'execution/nos_outage_regime_v1/sources.json']",,E009,finish,"closes E008. 50 files, none missing. OUTAGEDETAIL monthly files are cumulative full-table dumps (781k->896k rows); OUTAGECONSTRAINTSET 3.3k->20.6k rows",S0-mmsdm,completed,2026-09-24T01:29:17+08:00,E008
,inline pandas: profile MMSDM 2026-08 OUTAGEDETAIL/OUTAGECONSTRAINTSET/EQUIPMENTDETAIL/SUBSTATIONDETAIL,E010,start,read-only profiling,S1-explore,started,2026-09-24T01:29:18+08:00,
[],,E011,finish,"closes E010. MMSDM 2026-08 OUTAGEDETAIL is a full final-state table (449,962 outage IDs; 55,524 with start in window) incl. status + ACTUAL times; OUTAGECONSTRAINTSET 20,574 rows; EQUIPMENTDETAIL 30,922 rows with voltage+description; SUBSTATIONDETAIL 1,231 rows with region+owner",S1-explore,completed,2026-09-24T01:29:39+08:00,E010
